,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Employee Benefits,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Financial Assets,Investments And Advances,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Land And Improvements,Current Assets,Other Current Assets,Hedging Assets Current,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Symbol,Company Name,Treasury Shares Number,Current Deferred Liabilities,Current Deferred Revenue,Current Capital Lease Obligation,Current Accrued Expenses,Restricted Cash,Other Short Term Investments,Cash Financial,Commercial Paper,Investmentin Financial Assets,Available For Sale Securities,Leases,Properties,Cash Equivalents,Treasury Stock,Non Current Deferred Taxes Liabilities,Dividends Payable,Buildings And Improvements,Preferred Stock,Other Payable,Income Tax Payable,Other Investments,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Preferred Shares Number,Preferred Stock Equity,Long Term Equity Investment,Investments In Other Ventures Under Equity Method,Prepaid Assets,Liabilities Heldfor Sale Non Current,Investmentsin Joint Venturesat Cost,Assets Held For Sale Current,Taxes Receivable,Other Equity Interest,Current Provisions,Interest Payable,Non Current Note Receivables,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investmentsin Associatesat Cost,Preferred Securities Outside Stock Equity,Line Of Credit,Current Notes Payable,Receivables Adjustments Allowances,Notes Receivable,Loans Receivable,Foreign Currency Translation Adjustments,Minimum Pension Liabilities,Unrealized Gain Loss,Held To Maturity Securities,Investment Properties,Duefrom Related Parties Current,Current Deferred Assets,Dueto Related Parties Current,Inventories Adjustments Allowances,Non Current Accrued Expenses,Accrued Interest Receivable,Trading Securities,Investmentsin Subsidiariesat Cost,Total Partnership Capital,Limited Partnership Capital,Dueto Related Parties Non Current,Duefrom Related Parties Non Current,Fixed Assets Revaluation Reserve,Current Deferred Taxes Liabilities,Current Deferred Taxes Assets,General Partnership Capital
9/30/2023,379894650,379894650,10830000000,12690000000,-1964000000,30595000000,3587000000,-1964000000,,17905000000,28287000000,17905000000,,17905000000,-249000000,-249000000,15933000000,2183000000,38000000,38000000,20137000000,12679000000,1832000000,,,,465000000,,,10382000000,,10382000000,,7458000000,,2308000000,2308000000,,1223000000,3927000000,1988000000,407000000,1296000000,38042000000,26997000000,2616000000,,,1406000000,1406000000,,,,19869000000,4731000000,15138000000,3106000000,-3049000000,6155000000,,,4505000000,,11045000000,950000000,,4883000000,,3242000000,342000000,1299000000,3276000000,,3276000000,1936000000,1860000000,SYK,Stryker Corporation,,,,,1939000000,,76000000,,,,,,1650000000,,,,285000000,,,,407000000,,-187000000,3463000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,379778279,379778279,11546000000,12947000000,-2728000000,30308000000,3567000000,-2728000000,,17361000000,28510000000,17361000000,,17361000000,-330000000,-330000000,15526000000,2127000000,38000000,38000000,20048000000,13464000000,1846000000,,,,469000000,,,11149000000,,11149000000,,6584000000,,1798000000,1798000000,,929000000,3857000000,1908000000,298000000,1326000000,37409000000,27258000000,2648000000,,,1439000000,1439000000,,,,20089000000,4917000000,15172000000,3082000000,-3005000000,6087000000,,,4441000000,,10151000000,819000000,,4593000000,,2981000000,391000000,1221000000,3261000000,,3261000000,1478000000,1401000000,SYK,Stryker Corporation,,,,,1949000000,,77000000,,,,,,1646000000,,,,284000000,,,,298000000,,-181000000,3442000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,379608166,379608166,11390000000,13061000000,-2733000000,29956000000,4289000000,-2733000000,,16895000000,28752000000,16895000000,,16895000000,-305000000,-305000000,15072000000,2090000000,38000000,38000000,19935000000,14069000000,1587000000,,,,625000000,,,11857000000,,11857000000,,5866000000,,1204000000,1204000000,,713000000,3949000000,2022000000,371000000,1366000000,36830000000,26675000000,2567000000,,,1443000000,1443000000,,,,19628000000,4779000000,14849000000,3037000000,-2933000000,5970000000,,,4200000000,,10155000000,850000000,,4333000000,,2823000000,366000000,1144000000,3215000000,,3215000000,1757000000,1671000000,SYK,Stryker Corporation,,,,,1927000000,,86000000,,,,,,1770000000,,,,285000000,,,,371000000,,-180000000,3395000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,498924812,765174900,11608108000,13120421000,-4256905000,14307383000,2838604000,-4256905000,913991000,2100953000,14214158000,2133510000,32557000,2100953000,-1231221000,-1231221000,11898772000,1846743000,765175000,765175000,22578830000,14212559000,995420000,,,,,312927000,,12904212000,791007000,12113205000,,8366271000,,216209000,93225000,93225000,,8150062000,5903467000,33988000,5869479000,24712340000,13507465000,534703000,,,442256000,442256000,,,,6357858000,1136869000,5220989000,6172648000,,6172648000,,6172648000,,,11204875000,310069000,,4733966000,,,,,5562518000,,5556703000,598322000,598322000,SYY,Sysco Corporation,266250088,,,122984000,2246595000,,,,,,,,,,11178516000,312927000,,,0,,33988000,,-85590000,5642293000,,,,,,,,,5815000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,503702081,765174900,11150470000,12969386000,-4025127000,14516669000,3055130000,-4025127000,856751000,2404034000,14432156000,2437401000,33367000,2404034000,-1189753000,-1189753000,11724251000,1877201000,765175000,765175000,22303200000,14048730000,979376000,,,,,303878000,,12765476000,737354000,12028122000,,8254470000,,203910000,84513000,84513000,,8050560000,5784498000,46772000,5737726000,24740601000,13431001000,576120000,,,444180000,444180000,,,,6429161000,1174151000,5255010000,5981540000,,5981540000,,5981540000,,,11309600000,327569000,,4722499000,,,,,5297367000,,5291552000,962165000,962165000,SYY,Sysco Corporation,261472819,,,119397000,2266062000,,,,,,,,,,10772840000,303878000,,,0,,46772000,,-79179000,5370731000,,,,,,,,,5815000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,504203139,765174900,10323747000,11698237000,-3468488000,13018650000,2441550000,-3468488000,805386000,2125799000,12829672000,2160349000,34550000,2125799000,-1326800000,-1326800000,11560924000,1838986000,765175000,765175000,21112402000,12658238000,958614000,,,,,300034000,,11399590000,695717000,10703873000,,8454164000,,298647000,188978000,188978000,,8155517000,5978583000,182185000,5796398000,23272751000,12377037000,566309000,,,421037000,421037000,,,,5594287000,874902000,4719385000,5795404000,,5795404000,,5795404000,,,10895714000,333486000,,4648610000,,,,,5344514000,,5338699000,569104000,569104000,SYY,Sysco Corporation,260971761,,,109669000,2176934000,,,,,,,,,,10712486000,300034000,,,0,,182185000,,-61475000,5400174000,,,,,,,,,5815000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,505112066,765174900,9665346000,11165867000,-3496662000,12419169000,2067931000,-3496662000,755320000,2008622000,12356619000,2041834000,33212000,2008622000,-1252590000,-1252590000,11310664000,1814681000,765175000,765175000,20779311000,12238878000,931708000,,,,,302904000,,11004266000,656269000,10347997000,,8540433000,,161601000,62550000,62550000,,8378832000,6127651000,101894000,6025757000,22821145000,12212781000,640232000,,,420450000,420450000,,,,5505284000,859530000,4645754000,5646815000,-7149310000,12796125000,,731766000,5802593000,493051000,10608364000,284566000,,4480812000,,,,,5097785000,,5091970000,745201000,745201000,SYY,Sysco Corporation,260062834,,,99051000,2251181000,,,,,,,,0,,10629308000,302904000,,5768715000,0,,101894000,,-45599000,5137569000,,,,,,,,,5815000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,506413885,765174900,10223951000,11709841000,-3925132000,12557120000,1917859000,-3925132000,728023000,1575302000,11833647000,1608306000,33004000,1575302000,-1280885000,-1280885000,10829909000,1785075000,765175000,765175000,21093727000,12112992000,1009016000,,,,,212407000,,10891569000,633224000,10258345000,,8980735000,,818272000,723473000,723473000,,8162463000,6026141000,123892000,5902249000,22702033000,11803439000,509086000,,,435800000,435800000,,,,5500434000,886629000,4613805000,5358119000,,5358119000,,5358119000,,,10898594000,292726000,,4620614000,,,,,5227387000,,5227387000,757867000,757867000,SYY,Sysco Corporation,258761015,,,94799000,2136322000,,,,,,,,,,10523972000,212407000,,,0,,123892000,,-81190000,5308577000,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,7170035442,7620748598,1.29244E+11,1.50055E+11,-96018000000,2.37304E+11,-14389000000,-96018000000,17291000000,1.0454E+11,2.30244E+11,1.20595E+11,16055000000,1.0454E+11,2167000000,2167000000,-1570000000,1.11599E+11,7621000000,7621000000,2.78833E+11,2.33999E+11,23441000000,,8743000000,8743000000,,58820000000,,1.42995E+11,17291000000,1.25704E+11,,44834000000,,7060000000,7060000000,4630000000,,34061000000,34061000000,,31973000000,3.99428E+11,3.68983E+11,19015000000,,,,,,,891000000,2.00558E+11,1.32704E+11,67854000000,1.48519E+11,-2.11264E+11,3.59783E+11,,3.59783E+11,,,30445000000,15221000000,,2127000000,,,,,9577000000,,9577000000,3520000000,3520000000,T,AT&T Inc.,450713156,3713000000,3713000000,,,,,1202000000,2430000000,,,,,2318000000,15277000000,58820000000,2088000000,,0,,,,-463000000,10040000000,138000000,,891000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,7150063361,7620748598,1.30609E+11,1.54899E+11,-97059000000,2.40628E+11,-14669000000,-97059000000,17568000000,1.03297E+11,2.31151E+11,1.19415E+11,16118000000,1.03297E+11,2300000000,-1029000000,-5015000000,1.14519E+11,7621000000,7621000000,2.87645E+11,2.36518E+11,23696000000,,8734000000,8734000000,,58666000000,,1.45422E+11,17568000000,1.27854E+11,,51127000000,,9477000000,9477000000,,631000000,37241000000,33356000000,1022000000,27309000000,4.0706E+11,3.70602E+11,19601000000,,,,,,,1251000000,2.00356E+11,1.32502E+11,67854000000,1.49394E+11,-2.11402E+11,3.60796E+11,5640000000,1.96393E+11,1.18006E+11,1377000000,36458000000,17270000000,,2177000000,,,,,10289000000,,10289000000,6722000000,6722000000,T,AT&T Inc.,470685237,3778000000,3778000000,,3885000000,,,1368000000,2091000000,,,,0,5354000000,16128000000,58666000000,2020000000,39380000000,0,3005000000,,,-499000000,10788000000,118000000,,1251000000,,,,,,,,,2187000000,,,,,,7386000000,,,,-1337000000,4723000000,-57000000,,,,,,,,,,,,,,,,,,
9/30/2023,7149598590,7620748598,1.30463E+11,1.55733E+11,-96596000000,2.41706E+11,-16064000000,-96596000000,17730000000,1.03703E+11,2.30404E+11,1.19827E+11,16124000000,1.03703E+11,2545000000,2545000000,-7203000000,1.1689E+11,7621000000,7621000000,2.86871E+11,2.35187E+11,25591000000,,6494000000,6494000000,,58671000000,,1.44431E+11,17730000000,1.26701E+11,,51684000000,,11302000000,11302000000,6727000000,,36679000000,36679000000,,34659000000,4.06698E+11,3.71078E+11,19435000000,,,,,,,1847000000,2.00299E+11,1.32445E+11,67854000000,1.49497E+11,-2.08813E+11,3.5831E+11,,3.5831E+11,,,35620000000,16598000000,,2520000000,,,,,8962000000,,8962000000,7540000000,7540000000,T,AT&T Inc.,471150008,3703000000,3703000000,,,,,1423000000,4575000000,,,,,6117000000,16150000000,58671000000,2020000000,,0,,,,-484000000,9446000000,118000000,,1847000000,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,7149425297,7620748598,1.33752E+11,1.61591E+11,-96339000000,2.45183E+11,-17487000000,-96339000000,18311000000,1.01903E+11,2.29915E+11,1.18045E+11,16142000000,1.01903E+11,2305000000,2305000000,-10698000000,1.18833E+11,7621000000,7621000000,2.90408E+11,2.36249E+11,25258000000,,6696000000,6696000000,,57972000000,,1.46323E+11,18311000000,1.28012E+11,,54159000000,,15268000000,15268000000,10649000000,,35058000000,35058000000,,33038000000,4.08453E+11,3.71781E+11,20396000000,,,,,,,2779000000,1.98242E+11,1.30388E+11,67854000000,1.50364E+11,-2.05423E+11,3.55787E+11,,3.55787E+11,,,36672000000,15492000000,,2348000000,,,,,9304000000,,9304000000,9528000000,9528000000,T,AT&T Inc.,471323301,3833000000,3833000000,,,,,1049000000,4619000000,,,,,8479000000,16158000000,57972000000,2020000000,,0,,,,-528000000,9832000000,118000000,,2779000000,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,7149000000,7620514050,1.34663E+11,1.55897E+11,-98347000000,2.3688E+11,-28247000000,-98347000000,18413000000,99396000000,2.23123E+11,1.08346E+11,8950000000,99396000000,2354000000,2354000000,-15187000000,1.20774E+11,7621000000,7621000000,2.92527E+11,2.34377E+11,27883000000,,7060000000,7060000000,,57294000000,,1.4214E+11,18413000000,1.23727E+11,,58150000000,,13757000000,13757000000,9749000000,,40471000000,40471000000,,38389000000,4.00873E+11,3.7097E+11,20340000000,,,,,,,2810000000,1.97743E+11,1.29848E+11,67895000000,1.50077E+11,-2.02028E+11,3.52105E+11,,3.52105E+11,,,29903000000,14077000000,,2791000000,,,,,10214000000,,10214000000,2821000000,2821000000,T,AT&T Inc.,471514050,3922000000,3922000000,,,,,1034000000,3258000000,,,,,1787000000,16166000000,57294000000,2082000000,,0,,,,-619000000,10833000000,118000000,,2810000000,,,,,,,,,,,,,,750000000,0,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,212104863,227804863,5759300000,6217700000,-4673500000,19337800000,-1186000000,-4673500000,,13120100000,18432300000,13358200000,238100000,13120100000,-1192600000,-1192600000,7597400000,7106900000,455200000,455200000,12714100000,8851100000,372800000,,459300000,459300000,,2706800000,,5312200000,,5312200000,,3863000000,,905500000,905500000,,,2957500000,2957500000,,2957500000,26072300000,23395300000,1158700000,,,,,,,,17793600000,12472300000,5321300000,4443000000,,,,,,,2677000000,331500000,,870900000,172200000,302400000,99600000,296700000,1016200000,122100000,894100000,458400000,458400000,TAP,Molson Coors Beverage Company,15700000,,,,,,,,,,,,,,846800000,2706800000,,,0,,,,-13500000,907600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,213300000,227200000,5355000000,6270800000,-4743900000,19419900000,-1244100000,-4743900000,46900000,13196000000,18508100000,13435100000,239100000,13196000000,-1100100000,30600000,7484300000,7108400000,455200000,455200000,12940000000,8847400000,372300000,,465800000,465800000,,2697200000,,5312100000,,5312100000,,4092600000,329400000,958700000,911800000,895300000,316800000,2487700000,2404900000,255100000,2149800000,26375100000,23526600000,1142200000,,,,,,,,17939900000,12614600000,5325300000,4444500000,-4101600000,8546100000,783700000,414100000,5699800000,365100000,2848500000,297900000,,802300000,184100000,245700000,97400000,459200000,879400000,121600000,757800000,868900000,868900000,TAP,Molson Coors Beverage Company,13900000,,,46900000,82800000,,,,,,,,0,,735600000,2697200000,,1283400000,0,,,,-12700000,770500000,,,,,,,,,,-16200000,,82800000,,,,,16500000,,,,,-778000000,-352700000,,,,,,,,,,,,,,,,,,,
9/30/2023,215800000,227200000,5378200000,6179900000,-4787000000,19425900000,-1149900000,-4787000000,,13246000000,18547100000,13488000000,242000000,13246000000,-1173000000,71700000,7470000000,7099800000,458900000,458900000,13080400000,8842700000,371800000,,463000000,463000000,,2706800000,,5301100000,,5301100000,,4237700000,,878800000,878800000,857400000,,3358900000,3358900000,,3358900000,26568400000,23480600000,1179400000,,,,,,,,18033000000,12712200000,5320800000,4268200000,,,,,,,3087800000,353100000,,852600000,160700000,296300000,100900000,455400000,1080400000,161700000,918700000,801700000,801700000,TAP,Molson Coors Beverage Company,11400000,,,,,,,,,,,,,,584100000,2706800000,,,0,,,,-12200000,930900000,,,,,,,,,,-25600000,,,,,,,21400000,,,,,-901100000,-343600000,,,,,,,,,,,,,,,,,,,
6/30/2023,216200000,227100000,5654200000,6615100000,-5072300000,19645900000,-500700000,-5072300000,,13030800000,19222700000,13256900000,226100000,13030800000,-1067600000,21700000,7129300000,7059500000,485000000,485000000,13532700000,9702800000,370800000,,468700000,468700000,,2671400000,,6191900000,,6191900000,,3829900000,,423200000,423200000,394100000,,3406700000,3406700000,,3406700000,26789600000,23460400000,1019300000,,,,,,,,18103100000,12807000000,5296100000,4338000000,,,,,,,3329200000,360700000,,863400000,172300000,318200000,90700000,454500000,1144200000,129100000,1015100000,960900000,960900000,TAP,Molson Coors Beverage Company,10900000,,,,,,,,,,,,,,549600000,2671400000,,,0,,,,-12900000,1028000000,,,,,,,,,,-25800000,,,,,,,29100000,,,,,-748500000,-340800000,,,,,,,,,,,,,,,,,,,
3/31/2023,216300000,227000000,6262200000,6590400000,-5395200000,19286900000,-754600000,-5395200000,,12696500000,18874200000,12919000000,222500000,12696500000,-1144700000,14600000,6877000000,7025600000,502000000,502000000,12933500000,9627300000,321000000,,470000000,470000000,,2658600000,,6177700000,,6177700000,,3306200000,,412700000,412700000,385200000,,2893500000,2893500000,,2893500000,25852500000,23300900000,939100000,,,,,,,,18091700000,12799300000,5292400000,4270100000,,,,,,,2551600000,382400000,,915600000,181400000,344800000,82600000,488200000,925400000,121600000,803800000,328200000,328200000,TAP,Molson Coors Beverage Company,10700000,,,,,,,,,,,,,,537500000,2658600000,,,0,,,,-13300000,817100000,,,,,,,,,,-25900000,,,,,,,27500000,,,,,-821300000,-338000000,,,,,,,,,,,,,,,,,,,
3/31/2024,518000000,518000000,9090000000,11475000000,25066000000,36569000000,2388000000,25066000000,1090000000,26184000000,36024000000,30777000000,4593000000,26184000000,1087000000,1087000000,18378000000,201000000,6518000000,6518000000,27549000000,22635000000,4970000000,,427000000,427000000,,6524000000,,10714000000,874000000,9840000000,,4914000000,,761000000,545000000,545000000,,4153000000,4153000000,202000000,3951000000,58326000000,51024000000,,,,65000000,65000000,,,3059000000,1118000000,,1118000000,46782000000,,,,,,,7302000000,615000000,,3059000000,,,,,2333000000,,2134000000,1295000000,1295000000,TECK,Teck Resources Limited,,,,216000000,,,,,,1916000000,1916000000,,,,,6524000000,,,,,202000000,,,,,,1143000000,,,,1143000000,,199000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,517322246,517322246,9287000000,11092000000,25535000000,37019000000,573000000,25535000000,1061000000,26988000000,36504000000,28292000000,1304000000,26988000000,693000000,693000000,19618000000,213000000,6464000000,6464000000,27901000000,22009000000,681000000,18000000,445000000,445000000,444000000,6188000000,,10382000000,866000000,9516000000,3851000000,5892000000,698000000,710000000,515000000,515000000,,4110000000,3593000000,1181000000,2310000000,56193000000,49728000000,411000000,446000000,,65000000,65000000,207000000,68000000,1513000000,1453000000,345000000,1108000000,45565000000,-23324000000,68889000000,4389000000,9738000000,,32637000000,6465000000,585000000,,2946000000,,,,,2190000000,,2096000000,744000000,744000000,TECK,Teck Resources Limited,,27000000,27000000,195000000,517000000,,,,,397000000,397000000,,,,,6188000000,,,,102000000,1181000000,,,,,,1116000000,,,,1116000000,0,94000000,,347000000,101000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2023,520000000,520000000,8784000000,10738000000,25901000000,37145000000,1138000000,25901000000,611000000,27018000000,36607000000,28323000000,1305000000,27018000000,1034000000,1034000000,19279000000,210000000,6495000000,6495000000,26464000000,20853000000,3944000000,,401000000,401000000,,6449000000,,10059000000,470000000,9589000000,,5611000000,,679000000,538000000,538000000,,4932000000,4932000000,865000000,4067000000,54787000000,48038000000,,,,75000000,75000000,,,2860000000,1117000000,,1117000000,43986000000,,,,,,,6749000000,605000000,,2958000000,,,,,1843000000,,1736000000,1343000000,1343000000,TECK,Teck Resources Limited,,,,141000000,,,,,,1721000000,1721000000,,,,,6449000000,,,,,865000000,,,,,,1139000000,,,,1139000000,0,107000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,519800000,519800000,7822000000,10162000000,25307000000,36010000000,1505000000,25307000000,567000000,26415000000,35530000000,27625000000,1210000000,26415000000,759000000,759000000,18965000000,205000000,6486000000,6486000000,25465000000,20332000000,4103000000,,437000000,437000000,,6242000000,,9550000000,435000000,9115000000,,5133000000,,612000000,480000000,480000000,,4521000000,4521000000,917000000,3604000000,53090000000,46452000000,,,,75000000,75000000,,,2786000000,1108000000,,1108000000,42483000000,,,,,,,6638000000,527000000,,2946000000,,,,,1392000000,,1300000000,1773000000,1773000000,TECK,Teck Resources Limited,,,,132000000,,,,,,1666000000,1666000000,,,,,6242000000,,,,,917000000,,,,,,1120000000,,,,1120000000,0,92000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2023,514491087,514491087,7356000000,10192000000,25199000000,35937000000,1600000000,25199000000,571000000,26316000000,35444000000,27480000000,1164000000,26316000000,1054000000,1054000000,18889000000,209000000,6164000000,6164000000,26278000000,20521000000,3918000000,,439000000,439000000,,6593000000,,9571000000,443000000,9128000000,,5757000000,,621000000,493000000,493000000,,5136000000,5136000000,698000000,4438000000,53758000000,46401000000,176000000,,,75000000,75000000,,,2779000000,1117000000,,1117000000,42254000000,,,,,,,7357000000,512000000,,2779000000,,,,,1801000000,,1709000000,2265000000,2265000000,TECK,Teck Resources Limited,,,,128000000,,,,,,1635000000,1635000000,,,,,6593000000,,,,,698000000,,,,,,1144000000,,,,1144000000,0,92000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,5639358665,5750458145,,8297000000,-6819000000,22967000000,-2160000000,-6819000000,8297000000,22967000000,22967000000,27208000000,4241000000,22967000000,,,,,,,77112000000,53964000000,34124000000,,,,3683000000,2848000000,,6112000000,6112000000,,7197000000,23148000000,4278000000,2185000000,,,,15103000000,15103000000,1671000000,13432000000,1.0432E+11,83332000000,,,,6176000000,6176000000,,,16407000000,29786000000,11190000000,18596000000,30963000000,,30963000000,,30963000000,,,20988000000,,,999000000,,,,,11332000000,,10026000000,7977000000,6391000000,TEF,"Telefónica, S.A.",111099480,,,2185000000,,,1586000000,,,7629000000,7629000000,,,,,2848000000,,,,,,,,,,,8778000000,,,,,680000000,1306000000,,1582000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2023,5639358665,5750458145,28017000000,44115000000,-8226000000,57020000000,-2643000000,-8226000000,8947000000,21852000000,53555000000,27096000000,5244000000,21852000000,-19314000000,1372000000,24895000000,3751000000,5750000000,5750000000,77228000000,53829000000,,1657000000,4949000000,428000000,2696000000,3606000000,904000000,38411000000,6708000000,31703000000,2505000000,23399000000,273000000,5704000000,3465000000,3465000000,1005000000,14228000000,14228000000,1869000000,10456000000,1.04324E+11,83568000000,,,1353000000,7241000000,6240000000,1617000000,1940000000,9947000000,30078000000,11370000000,18708000000,31392000000,-89798000000,1.2119E+11,1877000000,498000000,98664000000,10740000000,20756000000,998000000,352000000,928000000,91000000,878000000,,,8983000000,705000000,6946000000,7668000000,7151000000,TEF,"Telefónica, S.A.",111099480,1598000000,1598000000,2239000000,,,517000000,,,741000000,741000000,,0,,429000000,2702000000,166000000,9411000000,,1394000000,769000000,616000000,-5984000000,12930000000,,,8590000000,,1554000000,,,273000000,1193000000,7199000000,591000000,,,,,,,,,,,-20686000000,,,,,139000000,,343000000,-41000000,,,,,,,5000000,,,,,
9/30/2023,5670161554,5670161554,,8850000000,-4800000000,25613000000,-1184000000,-4800000000,8850000000,25613000000,25613000000,31686000000,6073000000,25613000000,,,,,,,77601000000,53931000000,34238000000,,,,3853000000,2987000000,,6726000000,6726000000,,6127000000,23670000000,3988000000,2124000000,,,,16160000000,16160000000,1692000000,14468000000,1.09287E+11,86801000000,-1000000,,,5325000000,5325000000,,,19087000000,30413000000,11547000000,18866000000,31977000000,,31977000000,,31977000000,,,22486000000,,,1776000000,,,,,11006000000,,9751000000,9434000000,7819000000,TEF,"Telefónica, S.A.",,,,2124000000,,,1615000000,,,8157000000,,,,,,2987000000,,,,,,,,,,,10930000000,,,,,270000000,1255000000,,1398000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2023,5670161554,5750458145,,8687000000,-5780000000,25055000000,-2635000000,-5780000000,8687000000,25055000000,25055000000,31188000000,6133000000,25055000000,,,,,,,77782000000,53821000000,34019000000,,3827000000,360000000,2714000000,4151000000,1068000000,6530000000,6530000000,,2580000000,23961000000,4243000000,2157000000,,,823000000,14362000000,14362000000,1760000000,7617000000,1.0897E+11,87644000000,,,1433000000,5905000000,4950000000,1619000000,2507000000,13201000000,30835000000,11802000000,19033000000,32144000000,-87025000000,1.19169E+11,2197000000,253000000,1.024E+11,10240000000,21326000000,1006000000,,1510000000,1547000000,,,,8848000000,780000000,6587000000,8544000000,7290000000,TEF,"Telefónica, S.A.",80296591,1791000000,1791000000,2157000000,,,1254000000,,,1069000000,1069000000,,0,,,3083000000,1058000000,4079000000,,3792000000,1357000000,571000000,-3107000000,9694000000,,,11561000000,,1188000000,,,230000000,1364000000,,585000000,,,,,,,,,,,,,,,,117000000,,135000000,-37000000,,,,,,,,,,,,
3/31/2023,5750458145,5750458145,,8645000000,-6299000000,24033000000,-2696000000,-6299000000,8645000000,24033000000,24033000000,30121000000,6088000000,24033000000,,,,,,,78206000000,53818000000,33979000000,,,,3751000000,3081000000,,6610000000,6610000000,,6397000000,24388000000,4207000000,2035000000,,,,16666000000,16666000000,1655000000,15011000000,1.08327E+11,86635000000,,,,4837000000,4837000000,,,19460000000,30332000000,11721000000,18611000000,32006000000,,32006000000,,32006000000,,,21692000000,,,1611000000,,,,,10492000000,,9119000000,9582000000,7337000000,TEF,"Telefónica, S.A.",,,,2035000000,,,2245000000,,,8130000000,8130000000,,,,,3081000000,,,,,,,,,,,11330000000,,,,,7000000,1373000000,,1480000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2024,306879420,316574781,3020000000,4196000000,5551000000,16645000000,2341000000,5551000000,,12449000000,15410000000,12560000000,111000000,12449000000,-84000000,-84000000,13689000000,,139000000,139000000,10264000000,5101000000,846000000,,736000000,736000000,372000000,186000000,,2961000000,,2961000000,,5163000000,,1235000000,1235000000,,,3928000000,1598000000,,1598000000,22824000000,15320000000,810000000,,,3813000000,3813000000,,,,6898000000,1220000000,5678000000,3799000000,,,,,,,7504000000,710000000,,2744000000,,1139000000,1230000000,375000000,2874000000,,2874000000,1176000000,1176000000,TEL,TE Connectivity Ltd.,9695361,,,,2330000000,,,,,,,,,,1295000000,186000000,,,,,,,-38000000,2912000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
